,y,z,x,t,deviation,target_idx,y_d,z_d,x_d,t_d,c,color,deviationc,Ziehtiefe,part,tp,dx,dy,dz,nx,ny,nz
866,57.34279428996505,2.0084856677815566e-07,0.0,0.8668668668668669,0.005609023601732877,8668,57.34840331356678,0.7500001937020709,0.0,0.8668866886688669,-1.0,cyan,-0.005609023601732877,50,ru,4.363621794871794,0.0,0.28325569147918017,-3.46049153054917e-07,-0.0,1.2216847303140387e-06,0.9999999999992537
867,57.62604998029566,-1.0331891753256883e-07,0.0,0.8678678678678678,0.005354067918732579,8678,57.63140404821439,0.7499998922198421,0.0,0.8678867886788679,1.0,cyan,0.005354067918732579,50,ru,4.368406593406593,0.0,0.2832556885523161,-2.393248160204031e-07,-0.0,8.449073600021115e-07,0.9999999999996432
868,57.90930566706968,-2.778010652626506e-07,0.0,0.8688688688688688,0.00509911224384083,8688,57.91440477931352,0.7499997201273769,0.0,0.8688868886888689,-1.0,cyan,-0.00509911224384083,50,ru,4.373191391941392,0.0,0.28325568529136547,-1.2041854008382202e-07,-0.0,4.251231178641479e-07,0.9999999999999096
869,58.19256135087839,-3.441559977002129e-07,0.0,0.8698698698698699,0.004844156587182636,8698,58.197405507465575,0.7499996554962275,0.0,0.8698869886988699,1.0,cyan,0.004844156587182636,50,ru,4.377976190476191,0.0,0.28325568268569157,-2.5406349302148357e-08,-0.0,8.969404977601049e-08,0.9999999999999959
870,58.475817032441064,-3.286137638669473e-07,0.0,0.8708708708708709,0.004589200946888705,8708,58.48040623338795,0.7499996721671099,0.0,0.8708870887088709,-1.0,cyan,-0.004589200946888705,50,ru,4.382760989010989,0.0,0.28325568079935337,4.33757929574341e-08,0.0,-1.5313300278753884e-07,0.9999999999999882
871,58.7590727124771,-2.574044117853447e-07,0.0,0.8718718718718719,0.004334245320976259,8718,58.763406957798075,0.74999974398074,0.0,0.8718871887188719,1.0,cyan,0.004334245320976259,50,ru,4.387545787545787,0.0,0.28325567963238285,8.59278868614588e-08,0.0,-3.0335803671430157e-07,0.9999999999999539
872,59.04232839170583,-1.567579901440297e-07,0.0,0.8728728728728729,0.0040792897074911185,8728,59.04640768141332,0.7499998447778339,0.0,0.8728872887288729,-1.0,cyan,-0.0040792897074911185,50,ru,4.392330586080586,0.0,0.2832556791847445,1.0224993213236999e-07,0.0,-3.609810487353868e-07,0.9999999999999349
873,59.32558407084659,-5.2904547520604694e-08,0.0,0.8738738738738738,0.0038243341045502977,8738,59.32940840495114,0.7499999483991076,0.0,0.873887388738874,1.0,cyan,0.0038243341045502977,50,ru,4.397115384615384,0.0,0.28325567945160657,9.251990651382158e-08,0.0,-3.2663036692834754e-07,0.9999999999999467
874,59.60883975060904,2.8281822883613472e-08,0.0,0.8748748748748749,0.003569378509126952,8748,59.61240912911817,0.750000029075904,0.0,0.8748874887488749,-1.0,cyan,-0.003569378509126952,50,ru,4.401900183150183,0.0,0.28325568023880265,6.381630451857134e-08,0.0,-2.2529576270021664e-07,0.9999999999999747
875,59.892095431324194,7.472806151653799e-08,0.0,0.8758758758758759,0.0033144229117638897,8758,59.89540985423596,0.7500000750867342,0.0,0.875887588758876,1.0,cyan,0.0033144229117638897,50,ru,4.406684981684982,0.0,0.2832556811115374,3.199304943191095e-08,0.0,-1.1294760022593458e-07,0.9999999999999936
876,60.17535111283212,9.226792174743537e-08,0.0,0.8768768768768769,0.003059467310627895,8768,60.178410580142746,0.7500000923252911,0.0,0.8768876887688769,-1.0,cyan,-0.003059467310627895,50,ru,4.41146978021978,0.0,0.2832556818079013,6.6008531418582095e-09,0.0,-2.3303515395446803e-08,0.9999999999999998
877,60.458606794939996,8.792976780025441e-08,0.0,0.8778778778778779,0.002804511706429483,8778,60.461411306646426,0.750000087800978,0.0,0.877887788778878,1.0,cyan,0.002804511706429483,50,ru,4.416254578754579,0.0,0.2832556823115162,-1.1762978757712261e-08,-0.0,4.1527776818880114e-08,0.9999999999999992
878,60.74186247745515,6.874196423201084e-08,0.0,0.8788788788788788,0.0025495560995310125,8788,60.74441203355468,0.750000068523198,0.0,0.8788878887888789,-1.0,cyan,-0.0025495560995310125,50,ru,4.421039377289377,0.0,0.28325568262241063,-2.3098446155778163e-08,-0.0,8.154627628978265e-08,0.9999999999999967
879,61.02511816018482,4.1732875488698085e-08,0.0,0.8798798798798799,0.00229460049051512,8798,61.02741276067533,0.7500000415013536,0.0,0.87988798879888,1.0,cyan,0.00229460049051512,50,ru,4.425824175824176,0.0,0.2832556827405206,-2.74055492743841e-08,-0.0,9.675198396456927e-08,0.9999999999999953
880,61.30837384293619,1.3930865683242644e-08,0.0,0.8808808808808809,0.002039644879907607,8808,61.3104134878161,0.7500000137448483,0.0,0.8808880888088809,-1.0,cyan,-0.002039644879907607,50,ru,4.430608974358974,0.0,0.28325568266727075,-2.4735437642586788e-08,-0.0,8.73254771437099e-08,0.9999999999999962
881,61.59162952551936,-7.737999796475492e-09,0.0,0.8818818818818819,0.001784689268362175,8818,61.59341421478772,0.7499999921559954,0.0,0.8818881888188819,1.0,cyan,0.001784689268362175,50,ru,4.4353937728937725,0.0,0.2832556824555681,-1.701603102866045e-08,-0.0,6.007304383497965e-08,0.9999999999999982
